Title,ParentItemID,UpdateDate,StatusAtUpdate,Notes,UpdatedBy,SeverityAtUpdate,UpdateType,PrivilegedAndConfidential
EIT-001,EIT-001,2026-02-05T08:30:00,New,Promoted from intake queue. Engagement partner notified of classification concern.,Marcus Webb,High,Status Change,No
EIT-001,EIT-001,2026-02-12T11:00:00,Active,Initial review completed. Data handling gap confirmed across 2 sub-engagements. Procedure review initiated.,Marcus Webb,High,Status Change,No
EIT-001,EIT-001,2026-02-18T14:15:00,Active,NS lead briefed. Updated data handling procedures under review with engagement partner. Target closure March 7.,Marcus Webb,High,Evidence Added,No
EIT-002,EIT-002,2026-01-20T09:00:00,New,Promoted from intake queue. Personnel security file flagged for clearance review.,Sandra Okafor,Moderate,Status Change,No
EIT-002,EIT-002,2026-01-28T15:30:00,Active,Clearance review package submitted to NS lead. HR notified of interim access restrictions.,Sandra Okafor,Moderate,Status Change,Yes
EIT-002,EIT-002,2026-02-08T10:00:00,Monitoring,Moved to monitoring pending HR decision. No access to classified materials in interim. Check-in due Feb 15.,Sandra Okafor,Moderate,Status Change,Yes
EIT-003,EIT-003,2026-02-10T07:45:00,New,Promoted from intake queue. Restricted to NS lead and Managing Partner only. Need-to-know basis.,Marcus Webb,Critical,Status Change,No
EIT-003,EIT-003,2026-02-14T09:30:00,Active,Evidence package compiled. External security counsel retained. Team member placed on administrative leave pending investigation.,Marcus Webb,Critical,Evidence Added,Yes
EIT-003,EIT-003,2026-02-18T16:00:00,Escalated,Escalated to Managing Partner and Chief Risk Officer. External counsel confirmed foreign influence attempt pattern. Incident classified Confidential.,Marcus Webb,Critical,Escalation,Yes
EIT-003,EIT-003,2026-02-21T10:15:00,Escalated,Executive briefing materials prepared and distributed. Meeting scheduled Feb 26. Law enforcement notification under consideration.,Marcus Webb,Critical,Evidence Added,Yes
EIT-004,EIT-004,2026-02-09T06:15:00,New,Promoted from ServiceNow (ticket INC0024871). Endpoint isolated from network. EDR agent deployed.,Priya Nair,High,Status Change,No
EIT-004,EIT-004,2026-02-16T13:45:00,Active,EDR forensic scan complete. Malware variant identified (Lockbit 3.0 precursor). No confirmed encryption. Lateral movement scope: 1 endpoint only.,Priya Nair,High,Evidence Added,No
EIT-005,EIT-005,2026-02-04T02:30:00,New,Promoted from ServiceNow (ticket INC0024612). VPN gateway anomaly detected. 340 accounts flagged for suspicious authentication patterns.,Priya Nair,Critical,Status Change,No
EIT-005,EIT-005,2026-02-09T09:00:00,Escalated,Scope confirmed. 340 accounts subject to credential stuffing. Escalated to NIS lead and CISO. Force password reset initiated.,Priya Nair,Critical,Escalation,No
EIT-005,EIT-005,2026-02-15T14:00:00,Active,Force reset complete for all 340 accounts. MFA enforcement policy drafted. Geo-blocking rules applied to 14 source IP ranges.,Priya Nair,Critical,Evidence Added,No
EIT-005,EIT-005,2026-02-20T11:30:00,Contained,Contained. No reactivation attempts detected in 5-day monitoring window. MFA enforcement live. Post-incident review scheduled March 5.,Priya Nair,Critical,Containment,No
EIT-006,EIT-006,2026-02-24T08:00:00,New,Promoted from ServiceNow (ticket INC0025100). CVE-2026-0831 identified in middleware version 4.2.1. Vendor patch ETA: 5 business days.,Kevin Tran,Moderate,Status Change,No
EIT-007,EIT-007,2026-02-03T10:30:00,New,Promoted from intake queue. SharePoint site with client PII shared externally via anonymous link. Privacy & Technology lead notified.,Fatima Al-Rashid,High,Status Change,No
EIT-007,EIT-007,2026-02-10T09:15:00,Active,External sharing links revoked. 847 files confirmed in exposed site. Scope assessment underway. Legal notified for PIPEDA s.10.1 assessment.,Fatima Al-Rashid,High,Evidence Added,Yes
EIT-008,EIT-008,2026-01-15T11:00:00,New,Promoted from intake queue. Potential PIPEDA reportable breach under assessment. Related to EIT-007 data exposure scope.,Fatima Al-Rashid,Moderate,Status Change,No
EIT-008,EIT-008,2026-01-22T14:00:00,Active,Legal counsel engaged. Data mapping exercise initiated to determine if exposure meets reportable threshold under PIPEDA s.10.1.,Fatima Al-Rashid,Moderate,Status Change,Yes
EIT-008,EIT-008,2026-01-30T16:30:00,Monitoring,Moved to monitoring. Legal opinion pending. No reportable threshold confirmed yet. Decision required before Feb 28 regulatory deadline.,Fatima Al-Rashid,Moderate,Status Change,Yes
EIT-009,EIT-009,2026-02-18T09:00:00,New,Promoted from intake queue. Regulator correspondence received Feb 17 citing non-compliant cookie consent banner on client portal.,James Okonkwo,Low,Status Change,No
EIT-009,EIT-009,2026-02-22T10:00:00,Active,Remediation plan submitted to regulator Feb 22. Consent manager configuration update scheduled March 1. Regulator acknowledged receipt.,James Okonkwo,Low,Evidence Added,No
EIT-010,EIT-010,2026-02-10T13:00:00,New,Promoted from intake queue. HR system access log anomaly: 2 employee records accessed by account not authorised for HR data.,Diane Leblanc,High,Status Change,No
EIT-010,EIT-010,2026-02-17T11:30:00,Active,"Access log reviewed. Confirmed: 2 records accessed without authorisation on Feb 9. IT forensics engaged. Affected employees notified. PIPEDA breach assessment initiated.",Diane Leblanc,High,Evidence Added,No
EIT-011,EIT-011,2026-02-24T09:30:00,New,Promoted from intake queue. Formal complaint received via HR portal. Employment Law team alerted. Media monitoring activated as precaution.,Diane Leblanc,Moderate,Status Change,Yes
EIT-012,EIT-012,2026-01-28T14:00:00,New,Promoted from intake queue. Anomalous expense claims identified during routine audit. Ethics Committee informed.,Robert Mensah,Low,Status Change,No
EIT-012,EIT-012,2026-02-05T10:00:00,Active,Forensic accounting review initiated. 18 months of expense records under review. Employee placed on paid leave pending outcome.,Robert Mensah,Low,Status Change,No
EIT-012,EIT-012,2026-02-12T15:45:00,Monitoring,Preliminary findings: $34K in unsupported claims identified. Formal report being drafted for Ethics Committee. Final report due Feb 28.,Robert Mensah,Low,Evidence Added,Yes
EIT-013,EIT-013,2026-02-12T08:00:00,New,Promoted from iSight (case PS-2026-0089). Access control sensor on 18th floor restricted zone logged tailgating event at 07:52 AM.,Claire Fontaine,High,Status Change,No
EIT-013,EIT-013,2026-02-19T09:30:00,Active,CCTV footage reviewed and preserved. Individual identified via face recognition. Badge access audit for floors 18-20 initiated. HR and NS leads notified.,Claire Fontaine,High,Evidence Added,No
EIT-014,EIT-014,2026-02-19T17:30:00,New,Promoted from iSight (case PS-2026-0092). Visitor log confirmed guest was unescorted in restricted zone for 14 minutes after meeting concluded.,Claire Fontaine,Moderate,Status Change,No
EIT-014,EIT-014,2026-02-21T10:00:00,Active,Visitor escorted from premises. Badge access reviewed - no data assets accessed. Host employee counselled.,Claire Fontaine,Moderate,Status Change,No
EIT-014,EIT-014,2026-02-22T14:00:00,Contained,Contained. No data compromise confirmed. Visitor escort policy reminder sent firm-wide. Incident closed in iSight.,Claire Fontaine,Moderate,Containment,No
EIT-015,EIT-015,2026-02-11T16:00:00,New,Promoted from iSight (case PS-2026-0091). Laptop reported stolen from unattended bag at Toronto Pearson airport. Laptop unencrypted status under investigation.,Andre Bouchard,High,Status Change,No
EIT-015,EIT-015,2026-02-13T09:00:00,Active,Remote wipe confirmed executed via Intune at 08:47 AM Feb 13. Encryption status confirmed: BitLocker active at time of theft. Police report filed (Toronto Police case #2026-44821).,Andre Bouchard,High,Evidence Added,No
EIT-015,EIT-015,2026-02-15T11:00:00,Escalated,Escalated. Engagement partner notified. Client notification decision pending legal review of contractual obligations. Law firm retained for breach notification assessment.,Andre Bouchard,High,Escalation,Yes
